locNum	locType	locName	locStartText	sublocNum	sublocName	sublocStartText	itemNum	itemName	itemStartText	response	responseTime	outcome	itemEndText	locEndText
1	2	dream	You fall asleep and begin to dream...	1	dreaminterior	You keep dreaming	1	pigeon.jpg	pigeon	2	3.039755200000172	2	Incorrect	You wake up...
1	2	dream	You fall asleep and begin to dream...	1	dreaminterior	You keep dreaming	2	toucan.jpg	toucan	2	2.455615800000032	1	Correct	You wake up...
1	2	dream	You fall asleep and begin to dream...	1	dreaminterior	You keep dreaming	3	lynx.jpg	lynx	1	1.817930499999875	2	Incorrect	You wake up...
1	2	dream	You fall asleep and begin to dream...	1	dreaminterior	You keep dreaming	4	giraffe.jpg	giraffe	2	5.773610400000052	1	Correct	You wake up...
1	2	dream	You fall asleep and begin to dream...	1	dreaminterior	You keep dreaming	5	onion.jpg	onion	1	1.356588999999985	2	Incorrect	You wake up...
1	2	dream	You fall asleep and begin to dream...	1	dreaminterior	You keep dreaming	6	plane.jpg	plane	1	1.484315100000003	1	Correct	You wake up...
1	2	dream	You fall asleep and begin to dream...	2	dreaminterior	You keep dreaming	1	rubber_stamp.jpg	rubber stamp	2	1.418956100000059	2	Incorrect	You wake up...
1	2	dream	You fall asleep and begin to dream...	2	dreaminterior	You keep dreaming	2	pot.jpg	pot	2	3.193435200000067	1	Correct	You wake up...
1	2	dream	You fall asleep and begin to dream...	2	dreaminterior	You keep dreaming	3	fritter.jpg	fritter	2	2.859129899999971	2	Incorrect	You wake up...
1	2	dream	You fall asleep and begin to dream...	2	dreaminterior	You keep dreaming	4	ludo.jpg	ludo	2	3.302009199999929	1	Correct	You wake up...
1	2	dream	You fall asleep and begin to dream...	2	dreaminterior	You keep dreaming	5	avocado.jpg	avocado	1	0.7001431999999568	2	Incorrect	You wake up...
1	2	dream	You fall asleep and begin to dream...	2	dreaminterior	You keep dreaming	6	tomato.jpg	tomato	1	2.048286799999914	1	Correct	You wake up...
1	2	dream	You fall asleep and begin to dream...	3	dreaminterior	You keep dreaming	1	revolver.jpg	revolver	1	2.694382899999937	1	Correct	You wake up...
1	2	dream	You fall asleep and begin to dream...	3	dreaminterior	You keep dreaming	2	ship.jpg	ship	2	1.114514399999962	2	Incorrect	You wake up...
1	2	dream	You fall asleep and begin to dream...	3	dreaminterior	You keep dreaming	3	tractor.jpg	tractor	2	1.229541400000016	2	Incorrect	You wake up...
1	2	dream	You fall asleep and begin to dream...	3	dreaminterior	You keep dreaming	4	pagoda.jpg	pagoda	2	0.682327000000214	1	Correct	You wake up...
1	2	dream	You fall asleep and begin to dream...	3	dreaminterior	You keep dreaming	5	ladybird.jpg	ladybird	2	0.9840461999999661	1	Correct	You wake up...
1	2	dream	You fall asleep and begin to dream...	3	dreaminterior	You keep dreaming	6	ball.jpg	ball	1	0.570397899999989	2	Incorrect	You wake up...
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	1	lighthousegarden	Outside of the lighthouse is a large garden. It's a pleasant day and you decide to look around.	1	goldfinch.jpg	You hear chirping and a goldfinch hops out.	2	2.38463569999999	1	The goldfinch would have mistaken your hand for food and peck you.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	1	lighthousegarden	Outside of the lighthouse is a large garden. It's a pleasant day and you decide to look around.	2	magpie.jpg	You see a bird swooping down. It is a magpie trying to catch a worm.	1	2.859361099999887	2	It thinks you are trying to take its worm and scratches you.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	1	lighthousegarden	Outside of the lighthouse is a large garden. It's a pleasant day and you decide to look around.	3	tapir.jpg	You see a small creature walking with a limp. It is a Tapir.	2	3.665492999999969	1	He is standoffish and would have charged at you.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	1	lighthousegarden	Outside of the lighthouse is a large garden. It's a pleasant day and you decide to look around.	4	cow.jpg	You hear soft mooing in the distance. It is a cow slowly eating some grass.	1	3.510846700000002	1	It enjoys the snack thoroughly and lets you pet him.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	1	lighthousegarden	Outside of the lighthouse is a large garden. It's a pleasant day and you decide to look around.	5	chard.jpg	You notice a bundle of colourful greenery. It is a bundle of chard with a note.	2	5.332108900000094	2	It would have been a note complimenting you on your best qualities, and offering you the bundle of chard.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	1	lighthousegarden	Outside of the lighthouse is a large garden. It's a pleasant day and you decide to look around.	6	skateboard.jpg	You see a new shiny skateboard.	2	3.308865299999979	2	You could have done a kickflipped and felt cool.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	2	lighthouseinterior	Inside the lighthouse it is dark and quiet. It seems abandoned. Or is it?	1	paperclip.jpg	You notice a small paperclip.	1	2.133034700000053	1	It becomes animate and offers you advice for your adventure.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	2	lighthouseinterior	Inside the lighthouse it is dark and quiet. It seems abandoned. Or is it?	2	frying_pan.jpg	You are trying to nail something into wall. You don't have a hammer, but see a frying pan.	2	2.842224800000167	2	It would have worked surprisingly well.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	2	lighthouseinterior	Inside the lighthouse it is dark and quiet. It seems abandoned. Or is it?	3	pie.jpg	You see a large steaming peach pie, and it smells delicious.	2	4.81084850000002	2	You could have eaten a slice and felt warm and full.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	2	lighthouseinterior	Inside the lighthouse it is dark and quiet. It seems abandoned. Or is it?	4	diabolo.jpg	You come across an interesting item. It is a diabolo.	1	2.832428800000116	1	You try it and get it first try, impressing the neighbourhood children.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	2	lighthouseinterior	Inside the lighthouse it is dark and quiet. It seems abandoned. Or is it?	5	apple.jpg	Someone offers you a basket of fruit. Inside are red luscious apples.	1	1.90717890000019	1	You grow physically stronger from eating the delicious apple.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	2	lighthouseinterior	Inside the lighthouse it is dark and quiet. It seems abandoned. Or is it?	6	cauliflower.jpg	You find a large white vegetable. It is a ripe cauliflower.	2	2.950939100000141	2	You would have plucked it with ease and would have decided to take it home.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	3	lighthouserear	Behind the lighthouse is an old garage with dusty windows. As you enter you are greeted by the smell of old motor oil.	1	arrow.jpg	You are trying to pry open a cupboard and spot an arrow.	2	2.475602600000002	1	You would have cut open your hand trying.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	3	lighthouserear	Behind the lighthouse is an old garage with dusty windows. As you enter you are greeted by the smell of old motor oil.	2	boat.jpg	you are walking past a boat when you notice some fresh fish in a trap.	2	2.922485399999914	2	You would have taken some fresh fish to eat later successfully.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	3	lighthouserear	Behind the lighthouse is an old garage with dusty windows. As you enter you are greeted by the smell of old motor oil.	3	cart.jpg	You see an old style cart. It looks heavy.	2	2.630103899999995	1	The cart was old and the wheel would have popped off while you were trying to move it.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	3	lighthouserear	Behind the lighthouse is an old garage with dusty windows. As you enter you are greeted by the smell of old motor oil.	4	skyscraper.jpg	Oddly, you see a photograph of a tall building.	1	4.475404600000047	1	On the back of the photograph is a recipe for the world's best cookie. Score!	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	3	lighthouserear	Behind the lighthouse is an old garage with dusty windows. As you enter you are greeted by the smell of old motor oil.	5	moth.jpg	You see a soft fluffy insect. It is a cheerful moth.	2	3.187957999999981	2	It would have flown with you and would have cheered you on.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
2	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	3	lighthouserear	Behind the lighthouse is an old garage with dusty windows. As you enter you are greeted by the smell of old motor oil.	6	dartboard.jpg	You are feeling bored and come across a dartboard.	1	2.039226800000051	2	You miss the board completely and hit someone in the arm. You feel immense guilt.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
3	2	dream	You fall asleep and begin to dream...	1	dreaminterior	You keep dreaming	1	whale.jpg	whale	2	3.595662700000048	2	Incorrect	You wake up...
3	2	dream	You fall asleep and begin to dream...	1	dreaminterior	You keep dreaming	2	snake.jpg	snake	2	0.9677040999999917	2	Incorrect	You wake up...
3	2	dream	You fall asleep and begin to dream...	1	dreaminterior	You keep dreaming	3	sparrow.jpg	sparrow	1	0.832750299999816	2	Incorrect	You wake up...
3	2	dream	You fall asleep and begin to dream...	1	dreaminterior	You keep dreaming	4	dolphin.jpg	dolphin	2	1.896021999999903	1	Correct	You wake up...
3	2	dream	You fall asleep and begin to dream...	1	dreaminterior	You keep dreaming	5	rose.jpg	rose	2	1.052577799999881	1	Correct	You wake up...
3	2	dream	You fall asleep and begin to dream...	1	dreaminterior	You keep dreaming	6	cherries.jpg	cherries	1	1.025770899999998	1	Correct	You wake up...
3	2	dream	You fall asleep and begin to dream...	2	dreaminterior	You keep dreaming	1	palm_tree.jpg	palm tree	2	1.353595900000073	1	Correct	You wake up...
3	2	dream	You fall asleep and begin to dream...	2	dreaminterior	You keep dreaming	2	fly.jpg	fly	1	0.8729751000000761	2	Incorrect	You wake up...
3	2	dream	You fall asleep and begin to dream...	2	dreaminterior	You keep dreaming	3	rhino.jpg	rhino	1	1.355466699999852	2	Incorrect	You wake up...
3	2	dream	You fall asleep and begin to dream...	2	dreaminterior	You keep dreaming	4	carrot.jpg	carrot	1	1.42931950000002	1	Correct	You wake up...
3	2	dream	You fall asleep and begin to dream...	2	dreaminterior	You keep dreaming	5	watermelon.jpg	watermelon	1	0.8689679000001433	2	Incorrect	You wake up...
3	2	dream	You fall asleep and begin to dream...	2	dreaminterior	You keep dreaming	6	araceae.jpg	araceae	1	1.115342800000008	1	Correct	You wake up...
3	2	dream	You fall asleep and begin to dream...	3	dreaminterior	You keep dreaming	1	razor-shell.jpg	razor-shell	2	1.375113800000008	2	Incorrect	You wake up...
3	2	dream	You fall asleep and begin to dream...	3	dreaminterior	You keep dreaming	2	kiwi.jpg	kiwi	1	1.059938399999965	1	Correct	You wake up...
3	2	dream	You fall asleep and begin to dream...	3	dreaminterior	You keep dreaming	3	black_poplar.jpg	black poplar	1	1.193362400000069	2	Incorrect	You wake up...
3	2	dream	You fall asleep and begin to dream...	3	dreaminterior	You keep dreaming	4	cockroach.jpg	cockroach	2	1.359284200000047	1	Correct	You wake up...
